"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"1","Navy","Notre Dame",97,-0.804681194511687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,775,49,1,-39
"2","Notre Dame","Navy",-97,0.804681194511687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.5,-1500,49,1,39
"3","Utah","Florida",-14,2.9076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5,-230,51,1,13
"4","Florida","Utah",14,-2.9076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,190,51,1,-13
"5","North Carolina","South Carolina",-37,10.526521239954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,62.5,1,14
"6","South Carolina","North Carolina",37,-10.526521239954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-125,62.5,1,-14
"7","Ball State","Kentucky",105,64.8475524475525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1200,49,1,-30
"8","Kentucky","Ball State",-105,-64.8475524475525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,-5000,49,1,30
"9","Hawai'i","Vanderbilt",29,41.6078492935635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,625,56,1,-7
"10","Vanderbilt","Hawai'i",-29,-41.6078492935635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-1000,56,1,7
"11","Western Carolina","Arkansas",-68,-36.8615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1800,61.5,1,-43
"12","Arkansas","Western Carolina",68,36.8615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,-20000,61.5,1,43
"13","Florida State","LSU",-19,10.526521239954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,125,56.5,1,21
"14","LSU","Florida State",19,-10.526521239954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-145,56.5,1,-21
"15","Miami","Miami (OH)",-35,-54.3210312075985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.5,-900,48.5,1,35
"16","Miami (OH)","Miami",35,54.3210312075985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,575,48.5,1,-35
"17","San Diego State","Ohio",36,-23.239703153989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-135,50,1,7
"18","Ohio","San Diego State",-36,23.239703153989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,50,1,-7
"19","Temple","Akron",-4,-9.1328197226503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5,-420,55,1,3
"20","Akron","Temple",4,9.1328197226503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,315,55,1,-3
"21","Illinois","Toledo",27,-47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5,-370,46,1,2
"22","Toledo","Illinois",-27,47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,285,46,1,-2
"23","Michigan State","Central Michigan",-18,-47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-675,52,1,24
"24","Central Michigan","Michigan State",18,47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,460,52,1,-24
"25","Boston College","Northern Illinois",-28,-54.3210312075985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5,-360,52,1,-3
"26","Northern Illinois","Boston College",28,54.3210312075985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,280,52,1,3
"27","Wisconsin","Buffalo",-85,-47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,-7500,54.5,1,21
"28","Buffalo","Wisconsin",85,47.6796791443851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,1400,54.5,1,-21
"29","Duke","Clemson",-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,400,55.5,1,21
"30","Clemson","Duke",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-575,55.5,1,-21
"31","Connecticut","NC State",76,45.9928926794599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,500,50,1,-10
"32","NC State","Connecticut",-76,-45.9928926794599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-750,50,1,10
"33","Elon","Wake Forest",-52,-47.3880597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,1400,55.5,1,-20
"34","Wake Forest","Elon",52,47.3880597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.5,-8000,55.5,1,20
"35","Old Dominion","Virginia Tech",5,34.5796822339914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,500,49.5,1,-19
"36","Virginia Tech","Old Dominion",-5,-34.5796822339914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-750,49.5,1,19
"37","Louisville","Georgia Tech",-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-300,52,1,5
"38","Georgia Tech","Louisville",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,250,52,1,-5
"39","Louisiana Monroe","Army",29,-11.4132104454685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,240,47.5,1,4
"40","Army","Louisiana Monroe",-29,11.4132104454685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-290,47.5,1,-4
