"gameId","school","conference","homeAway","opponent","opponentConference","points","totalYards","netPassingYards","completionAttempts","passingTds","yardsPerPass","passesIntercepted","interceptionYards","interceptionTds","rushingAttempts","rushingYards","rushTds","yardsPerRushAttempt","firstDowns","thirdDownEff","fourthDownEff","puntReturns","puntReturnYards","puntReturnTds","kickReturnYards","kickReturnTds","kickReturns","kickingPoints","fumblesRecovered","fumblesLost","totalFumbles","tackles","tacklesForLoss","sacks","qbHurries","interceptions","passesDeflected","turnovers","defensiveTds","totalPenaltiesYards","possessionTime","pointsAllowed","totalYardsAllowed","netPassingYardsAllowed","completionAttemptsAllowed","passingTdsAllowed","yardsPerPassAllowed","passesInterceptedAllowed","interceptionYardsAllowed","interceptionTdsAllowed","rushingAttemptsAllowed","rushingYardsAllowed","rushTdsAllowed","yardsPerRushAttemptAllowed","firstDownsAllowed","thirdDownEffAllowed","fourthDownEffAllowed","puntReturnsAllowed","puntReturnYardsAllowed","puntReturnTdsAllowed","kickReturnYardsAllowed","kickReturnTdsAllowed","kickReturnsAllowed","kickingPointsAllowed","fumblesRecoveredAllowed","fumblesLostAllowed","totalFumblesAllowed","tacklesAllowed","tacklesForLossAllowed","sacksAllowed","qbHurriesAllowed","interceptionsAllowed","passesDeflectedAllowed","turnoversAllowed","defensiveTdsAllowed","totalPenaltiesYardsAllowed","possessionTimeAllowed","rowId","season","seasonType","week","startDate","homeTeam","homeConference","homeScore","awayTeam","awayConference","awayScore","provider","spread","formattedSpread","spreadOpen","overUnder","overUnderOpen","homeMoneyline","awayMoneyline","completionPercent","penaltyYards","penaltyYardsOpp","cbsRank","cbsRankOpp","cbsConfRank","cbsConfRankOpp"
401525434,"Navy","American Athletic","away","Notre Dame","FBS Independents",3,"169","43","3-7","0","6.1",NA,NA,NA,"48","126","0","2.6","12","4-14","3-4",NA,NA,NA,"12","0","1","3","0","0","3","42","2","0","1","0","2","0","0","3-26","33:14",42,"444","253","20-25","4","10.1",NA,NA,NA,"32","191","2","6.0","27","5-7","1-1","1","11","0","41","0","2","6","0","0","2","41","5","2","2","0","0","0","0","1-10","26:46",3,2023,"regular",1,"2023-08-26T18:30:00.000Z","Notre Dame","FBS Independents",42,"Navy","American Athletic",3,"Bovada","-20.5","Notre Dame -20.5","-19.5","50.5","49.0",-1500,775,0.428571428571429,26,10,114,9,84.3157894736842,76.1428571428571
401525434,"Notre Dame","FBS Independents","home","Navy","American Athletic",42,"444","253","20-25","4","10.1",NA,NA,NA,"32","191","2","6.0","27","5-7","1-1","1","11","0","41","0","2","6","0","0","2","41","5","2","2","0","0","0","0","1-10","26:46",3,"169","43","3-7","0","6.1",NA,NA,NA,"48","126","0","2.6","12","4-14","3-4",NA,NA,NA,"12","0","1","3","0","0","3","42","2","0","1","0","2","0","0","3-26","33:14",4,2023,"regular",1,"2023-08-26T18:30:00.000Z","Notre Dame","FBS Independents",42,"Navy","American Athletic",3,"Bovada","-20.5","Notre Dame -20.5","-19.5","50.5","49.0",-1500,775,0.8,10,26,9,114,76.1428571428571,84.3157894736842
401520176,"Utah","Pac-12","home","Florida","SEC",24,"270","165","15-23","1","7.2","1","2","0","30","105","2","3.5","14","3-13","0-0","3","5","0","16","0","1","6","0","0","1","37","7","5","0","0","4","0","0","5-37","28:08",11,"346","333","31-44","1","7.6",NA,NA,NA,"21","13","0","0.6","17","1-13","2-5","2","5","0","47","0","2","3","0","0","1","29","4","0","2","1","2","1","0","9-46","31:52",9,2023,"regular",1,"2023-09-01T00:00:00.000Z","Utah","Pac-12",24,"Florida","SEC",11,"Bovada","-5.5","Utah -5.5","-8.5","44.0","51.0",-230,190,0.652173913043478,37,46,13,47,34.5263157894737,39.9285714285714
401520176,"Florida","SEC","away","Utah","Pac-12",11,"346","333","31-44","1","7.6",NA,NA,NA,"21","13","0","0.6","17","1-13","2-5","2","5","0","47","0","2","3","0","0","1","29","4","0","2","1","2","1","0","9-46","31:52",24,"270","165","15-23","1","7.2","1","2","0","30","105","2","3.5","14","3-13","0-0","3","5","0","16","0","1","6","0","0","1","37","7","5","0","0","4","0","0","5-37","28:08",10,2023,"regular",1,"2023-09-01T00:00:00.000Z","Utah","Pac-12",24,"Florida","SEC",11,"Bovada","-5.5","Utah -5.5","-8.5","44.0","51.0",-230,190,0.704545454545455,46,37,47,13,39.9285714285714,34.5263157894737
401520167,"North Carolina","ACC","home","South Carolina","SEC",31,"437","269","24-32","2","8.4",NA,NA,NA,"39","168","2","4.3","21","8-13","1-2",NA,NA,NA,"16","0","1","7","0","0",NA,"46","16","9","0","2","1","2","0","7-49","32:37",17,"351","353","30-39","0","9.1","2","22","0","31","-2","2","-0.1","20","4-14","0-4",NA,NA,NA,"43","0","2","5","0","0",NA,"32","1","0","2","0","1","0","0","6-35","27:23",13,2023,"regular",1,"2023-09-02T23:30:00.000Z","North Carolina","ACC",31,"South Carolina","SEC",17,"Bovada","-2","North Carolina -2","-3","63.5","62.5",105,-125,0.75,49,35,21,40,43.9,39.9285714285714
401520167,"South Carolina","SEC","away","North Carolina","ACC",17,"351","353","30-39","0","9.1","2","22","0","31","-2","2","-0.1","20","4-14","0-4",NA,NA,NA,"43","0","2","5","0","0",NA,"32","1","0","2","0","1","0","0","6-35","27:23",31,"437","269","24-32","2","8.4",NA,NA,NA,"39","168","2","4.3","21","8-13","1-2",NA,NA,NA,"16","0","1","7","0","0",NA,"46","16","9","0","2","1","2","0","7-49","32:37",14,2023,"regular",1,"2023-09-02T23:30:00.000Z","North Carolina","ACC",31,"South Carolina","SEC",17,"Bovada","-2","North Carolina -2","-3","63.5","62.5",105,-125,0.769230769230769,35,49,40,21,39.9285714285714,43.9
401520159,"Ball State","Mid-American","away","Kentucky","SEC",14,"295","223","22-30","1","7.4","1","0","0","41","72","1","1.8","18","9-17","1-2","1","3","0",NA,NA,NA,"2","0","2","3","27","3","1","2","0","2","2","0","4-26","38:16",44,"357","241","18-31","1","7.8",NA,NA,NA,"20","116","2","5.8","17","4-9","0-1","2","27","0","117","1","2","14","2","0","0","44","8","3","1","1","1","1","1","7-51","21:44",15,2023,"regular",1,"2023-09-02T16:00:00.000Z","Kentucky","SEC",44,"Ball State","Mid-American",14,"Bovada","-25.5","Kentucky -25.5","-26.0","48.5","49.0",-5000,1200,0.733333333333333,26,51,122,30,105.923076923077,39.9285714285714
401520159,"Kentucky","SEC","home","Ball State","Mid-American",44,"357","241","18-31","1","7.8",NA,NA,NA,"20","116","2","5.8","17","4-9","0-1","2","27","0","117","1","2","14","2","0","0","44","8","3","1","1","1","1","1","7-51","21:44",14,"295","223","22-30","1","7.4","1","0","0","41","72","1","1.8","18","9-17","1-2","1","3","0",NA,NA,NA,"2","0","2","3","27","3","1","2","0","2","2","0","4-26","38:16",16,2023,"regular",1,"2023-09-02T16:00:00.000Z","Kentucky","SEC",44,"Ball State","Mid-American",14,"Bovada","-25.5","Kentucky -25.5","-26.0","48.5","49.0",-5000,1200,0.580645161290323,51,26,30,122,39.9285714285714,105.923076923077
401520147,"Hawai'i","Mountain West","away","Vanderbilt","SEC",28,"391","351","27-35","3","10.0",NA,NA,NA,"25","40","1","1.6","19","3-11","3-4",NA,NA,NA,"90","0","4","4","0","0","1","35","9","3","2","2","6","2","0","7-59","31:22",35,"297","258","19-30","3","8.6","2","9","0","26","39","1","1.5","17","5-12","1-3","1","27","0","97","1","1","3","0","0",NA,"37","8","3","4","0","4","0","1","8-72","28:38",19,2023,"regular",1,"2023-08-26T23:30:00.000Z","Vanderbilt","SEC",35,"Hawai'i","Mountain West",28,"Bovada","-18.0","Vanderbilt -18.0","-18.0","56.0","56.0",-1000,625,0.771428571428571,59,72,120,73,87.9285714285714,39.9285714285714
401520147,"Vanderbilt","SEC","home","Hawai'i","Mountain West",35,"297","258","19-30","3","8.6","2","9","0","26","39","1","1.5","17","5-12","1-3","1","27","0","97","1","1","3","0","0",NA,"37","8","3","4","0","4","0","1","8-72","28:38",28,"391","351","27-35","3","10.0",NA,NA,NA,"25","40","1","1.6","19","3-11","3-4",NA,NA,NA,"90","0","4","4","0","0","1","35","9","3","2","2","6","2","0","7-59","31:22",20,2023,"regular",1,"2023-08-26T23:30:00.000Z","Vanderbilt","SEC",35,"Hawai'i","Mountain West",28,"Bovada","-18.0","Vanderbilt -18.0","-18.0","56.0","56.0",-1000,625,0.633333333333333,72,59,73,120,39.9285714285714,87.9285714285714
401520150,"Western Carolina","Southern","away","Arkansas","SEC",13,"291","227","25-40","0","5.7",NA,NA,NA,"30","64","1","2.1","18","4-15","1-2","2","1","0","37","0","2","7","0","1","1","31","4","1","1","4","1","5","0","3-30","30:43",56,"379","274","20-25","4","11.0","4","101","1","36","105","3","2.9","21","6-13","2-2","2","51","0","46","0","2","8","1","0","2","37","10","2","1","0","2","0","1","7-86","29:17",27,2023,"regular",1,"2023-09-02T20:00:00.000Z","Arkansas","SEC",56,"Western Carolina","Southern",13,"Bovada","-38.0","Arkansas -38.0","-35.0","61.5","61.5",-20000,1800,0.625,30,86,NA,32,NA,39.9285714285714
401520150,"Arkansas","SEC","home","Western Carolina","Southern",56,"379","274","20-25","4","11.0","4","101","1","36","105","3","2.9","21","6-13","2-2","2","51","0","46","0","2","8","1","0","2","37","10","2","1","0","2","0","1","7-86","29:17",13,"291","227","25-40","0","5.7",NA,NA,NA,"30","64","1","2.1","18","4-15","1-2","2","1","0","37","0","2","7","0","1","1","31","4","1","1","4","1","5","0","3-30","30:43",28,2023,"regular",1,"2023-09-02T20:00:00.000Z","Arkansas","SEC",56,"Western Carolina","Southern",13,"Bovada","-38.0","Arkansas -38.0","-35.0","61.5","61.5",-20000,1800,0.8,86,30,32,NA,39.9285714285714,NA
401520182,"Florida State","ACC","home","LSU","SEC",45,"494","359","24-32","4","11.2","1","0","0","34","135","2","4.0","22","9-14","1-1",NA,NA,NA,"0","0","1","9","1","0","0","33","5","4","1","1","4","1","0","7-64","35:23",24,"460","347","22-37","1","9.4","1","2","0","27","113","2","4.2","23","3-10","0-3","1","-3","0","51","0","4","6","0","1","1","27","4","0","4","1","2","2","0","2-30","24:37",31,2023,"regular",1,"2023-09-03T23:30:00.000Z","Florida State","ACC",45,"LSU","SEC",24,"Bovada","1.5","LSU -1.5","2.0","57.0","56.5",125,-145,0.75,64,30,3,15,43.9,39.9285714285714
401520182,"LSU","SEC","away","Florida State","ACC",24,"460","347","22-37","1","9.4","1","2","0","27","113","2","4.2","23","3-10","0-3","1","-3","0","51","0","4","6","0","1","1","27","4","0","4","1","2","2","0","2-30","24:37",45,"494","359","24-32","4","11.2","1","0","0","34","135","2","4.0","22","9-14","1-1",NA,NA,NA,"0","0","1","9","1","0","0","33","5","4","1","1","4","1","0","7-64","35:23",32,2023,"regular",1,"2023-09-03T23:30:00.000Z","Florida State","ACC",45,"LSU","SEC",24,"Bovada","1.5","LSU -1.5","2.0","57.0","56.5",125,-145,0.594594594594595,30,64,15,3,39.9285714285714,43.9
401525463,"Miami","ACC","home","Miami (OH)","Mid-American",38,"493","243","20-25","1","9.7",NA,NA,NA,"36","250","3","6.9","26","3-7","0-0","3","4","0","40","0","1","12","0","0",NA,"22","6","3","0","1","4","1","0","8-60","32:53",3,"215","164","13-24","0","6.8","1","0","0","25","51","0","2.0","9","2-12","0-3","1","-2","0","27","0","1","3","0","0",NA,"40","1","1","0","0","0","0","0","5-49","27:07",33,2023,"regular",1,"2023-09-01T23:00:00.000Z","Miami","ACC",38,"Miami (OH)","Mid-American",3,"Bovada","-16.5","Miami -16.5","-17.5","45.0","48.5",-900,575,0.8,60,49,22,100,43.9,105.923076923077
