"school" "alt_name3"
"Air Force" "Air Force"
"Akron" "Akron"
"Alabama" "Alabama"
"App. St." "Appalachian St"
"Arizona" "Arizona"
"Arizona St." "Arizona State"
"Arkansas" "Arkansas"
"Arkansas St." "Arkansas State"
"Army" "Army"
"Auburn" "Auburn"
"BYU" "BYU"
"Ball St." "Ball State"
"Baylor" "Baylor"
"Boise St." "Boise State"
"Boston Coll." "Boston College"
"BGSU" "Bowling Green"
"Buffalo" "Buffalo"
"Coastal Caro." "C. Carolina"
"California" "Cal"
"CMU" "Cent Michigan"
"Charlotte" "Charlotte"
"Cincinnati" "Cincinnati"
"Clemson" "Clemson"
"Colorado" "Colorado"
"Colorado St." "Colorado State"
"Duke" "Duke"
"EMU" "E Michigan"
"ECU" "ECU"
"FAU" "FAU"
"FIU" "FIU"
"Florida" "Florida"
"Florida St." "Florida St."
"Fresno St." "Fresno State"
"Ga. Southern" "Ga Southern"
"Georgia" "Georgia"
"Georgia St." "Georgia State"
"Ga. Tech" "Georgia Tech"
"Hawaii" "Hawai'i"
"Houston" "Houston"
"Illinois" "Illinois"
"Indiana" "Indiana"
"Iowa" "Iowa"
"Iowa St." "Iowa State"
"JMU" "JMU"
"JSU" "Jacksonville State"
"Kansas" "Kansas"
"Kansas St." "Kansas State"
"Kent St." "Kent State"
"Kentucky" "Kentucky"
"LSU" "LSU"
"La. Tech" "LA Tech"
"Liberty" "Liberty"
"Louisiana" "Louisiana"
"Louisville" "Louisville"
"Marshall" "Marshall"
"Maryland" "Maryland"
"Memphis" "Memphis"
"Miami" "Miami"
"Miami-OH" "Miami (OH)"
"Michigan" "Michigan"
"Michigan St." "Michigan State"
"MTSU" "Mid Tennessee"
"Minnesota" "Minnesota"
"Miss. St." "Miss St"
"Missouri" "Missouri"
"NIU" "N Illinois"
"NC St." "NC State"
"Navy." "Navy"
"Nebraska" "Nebraska"
"Nevada" "Nevada"
"New Mexico" "New Mexico"
"NMSU" "New Mexico St"
"N. Texas" "North Texas"
"Northwestern" "Northwestern"
"Notre Dame" "Notre Dame"
"Ohio St." "OSU"
"Ohio" "Ohio"
"Oklahoma" "Oklahoma"
"Oklahoma St." "Oklahoma State"
"ODU" "Old Dominion"
"Ole Miss" "Ole Miss"
"Oregon" "Oregon"
"Oregon St." "Oregon State"
"Penn St." "Penn State"
"Pittsburgh" "Pitt"
"Purdue" "Purdue"
"Rice" "Rice"
"Rutgers" "Rutgers"
"SMU" "SMU"
"SHSU" "Sam Houston State"
"San Diego St." "San Diego State"
"San Jose St." "San Jose State"
"S. Alabama" "South Alabama"
"S. Carolina" "South Carolina"
"So. Miss" "Southern Miss"
"Stanford" "Stanford"
"Syracuse" "Syracuse"
"TCU" "TCU"
"Temple" "Temple"
"Tennessee" "Tennessee"
"Texas" "Texas"
"Texas A&M" "Texas A&M"
"Texas St." "Texas State"
"Texas Tech" "Texas Tech"
"Toledo" "Toledo"
"Troy" "Troy"
"Tulane" "Tulane"
"Tulsa" "Tulsa"
"UAB" "UAB"
"UCF" "UCF"
"UCLA" "UCLA"
"UConn" "UConn"
"ULM" "UL Monroe"
"UMass" "UMass"
"N. Carolina" "UNC"
"UNLV" "UNLV"
"USC" "USC"
"USF" "USF"
"UTEP" "UTEP"
"UTSA" "UTSA"
"Virginia" "UVA"
"Utah" "Utah"
"Utah St." "Utah State"
"Va. Tech" "VT"
"Vanderbilt" "Vanderbilt"
"WKU" "W Kentucky"
"WMU" "W Michigan"
"Wake Forest" "Wake Forest"
"Washington" "Washington"
"Wash. St." "Washington St"
"W. Virginia" "West Virginia"
"Wisconsin" "Wisconsin"
"Wyoming" "Wyoming"
