"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","pointsDiff"
"1","Marshall","Notre Dame",62,9.6966887417219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,850,52,5
"2","Notre Dame","Marshall",-62,-9.6966887417219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,-1800,52,-5
"3","Kentucky","Florida",-13,0,-4,-233,-98,2.5,-8,0,-0.0519999999999999,-4,-233,-98,2.5,-8,0,-0.052083333333333,4.5,180,51.5,10
"4","Florida","Kentucky",13,0,4,233,98,-2.5,8,0,0.0519999999999999,4,233,98,-2.5,8,0,0.052083333333333,-4.5,-220,51.5,-10
"5","Pittsburgh","Tennessee",19,16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,185,65,-7
"6","Tennessee","Pittsburgh",-19,-16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-225,65,7
"7","Arkansas","South Carolina",1,0,0,145,141,2.5,-7,-1,0.07,0,145,141,2.5,-7,-1,0.0706860706860699,-9,-320,53,14
"8","South Carolina","Arkansas",-1,0,0,-145,-141,-2.5,7,1,-0.07,0,-145,-141,-2.5,7,1,-0.0706860706860699,9,260,53,-14
"9","Wake Forest","Vanderbilt",-22,16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-460,61.5,20
"10","Vanderbilt","Wake Forest",22,-16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,340,61.5,-20
"11","Texas","Alabama",6,6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,775,61.5,-1
"12","Alabama","Texas",-6,-6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.5,-1500,61.5,1
"13","Arizona","Mississippi State",18,13.6525036109774,-1,65,-86,-0.699999999999999,-20,0,-0.147,-1,65,-86,-0.699999999999999,-20,0,-0.146938775510204,8.5,290,61,-22
"14","Mississippi State","Arizona",-18,-13.6525036109774,1,-65,86,0.699999999999999,20,0,0.147,1,-65,86,0.699999999999999,20,0,0.146938775510204,-8.5,-380,61,22
"15","San José State","Auburn",52,63.0704936854191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1100,51.5,-8
"16","Auburn","San José State",-52,-63.0704936854191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-2800,51.5,8
"17","Penn State","Ohio",-75,-61.7437570303709,0,-33,-70,-2.6,1,1,-0.257,0,-33,-70,-2.6,1,1,-0.257532281205164,-26.5,-2800,53.5,36
"18","Ohio","Penn State",75,61.7437570303709,0,33,70,2.6,-1,-1,0.257,0,33,70,2.6,-1,-1,0.257532281205164,26.5,1100,53.5,-36
"19","Ball State","Western Michigan",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,200,55.5,-7
"20","Western Michigan","Ball State",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-240,55.5,7
"21","Louisiana","Eastern Michigan",-12,-16.5899254315061,-3,9,-21,-1.2,-24,-2,-0.0549999999999999,-3,9,-21,-1.2,-24,-2,-0.054838709677419,-11,-450,56,28
"22","Eastern Michigan","Louisiana",12,16.5899254315061,3,-9,21,1.2,24,2,0.0549999999999999,3,-9,21,1.2,24,2,0.054838709677419,11,335,56,-28
"23","South Alabama","Central Michigan",-51,-16.5899254315061,1,54,-38,0.800000000000001,12,-1,0.00800000000000001,1,54,-38,0.800000000000001,12,-1,0.00816326530612299,6.5,170,59,14
"24","Central Michigan","South Alabama",51,16.5899254315061,-1,-54,38,-0.800000000000001,-12,1,-0.00800000000000001,-1,-54,38,-0.800000000000001,-12,1,-0.00816326530612299,-6.5,-200,59,-14
"25","Tulsa","Northern Illinois",11,-29.0188175630585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-235,57,3
"26","Northern Illinois","Tulsa",-11,29.0188175630585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,195,57,-3
"27","Virginia Tech","Boston College",5,0,1,118,28,-1.5,60,2,0.0219999999999999,1,118,28,-1.5,60,2,0.0223577235772351,-3,-135,45,17
"28","Boston College","Virginia Tech",-5,0,-1,-118,-28,1.5,-60,-2,-0.0219999999999999,-1,-118,-28,1.5,-60,-2,-0.0223577235772351,3,115,45,-17
"29","Georgia State","North Carolina",81,42.8566887417219,-2,-15,-256,-6.3,-55,0,-0.445,-2,-15,-256,-6.3,-55,0,-0.444334975369458,9.5,215,68,-7
"30","North Carolina","Georgia State",-81,-42.8566887417219,2,15,256,6.3,55,0,0.445,2,15,256,6.3,55,0,0.444334975369458,-9.5,-260,68,7
